GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.arka.notification.infrastructure.adapter.in.kafka.dto,StockUpdatedEvent,10,0,0,0,3,0,3,0,3,0
notification-service,com.arka.notification.infrastructure.adapter.in.kafka.dto,StockFailedEvent,17,0,0,0,4,0,5,0,5,0
notification-service,com.arka.notification.infrastructure.adapter.in.kafka.dto,BaseEvent,17,0,0,0,4,0,5,0,5,0
notification-service,com.arka.notification,NotificationServiceApplication,5,3,0,0,2,1,1,1,1,1
notification-service,com.arka.notification.infrastructure.adapter.out.persistence,NotificationRepositoryAdapter,70,6,0,0,19,1,4,1,4,1
notification-service,com.arka.notification.infrastructure.adapter.out.persistence,NotificationEntity,52,0,0,0,9,0,15,0,15,0
notification-service,com.arka.notification.domain.exception.dto,ApiRespuestaExcepcionDTO.ApiRespuestaExcepcionDTOBuilder,54,0,0,0,1,0,8,0,8,0
notification-service,com.arka.notification.domain.exception.dto,ApiRespuestaExcepcionDTO,269,0,46,0,14,0,40,0,17,0
notification-service,com.arka.notification.application.usecase,NotificationService,99,85,11,5,13,14,12,5,4,5
notification-service,com.arka.notification.infrastructure.security,SecurityErrorResponseWriter,65,6,0,0,18,1,2,1,2,1
notification-service,com.arka.notification.infrastructure.security,SecurityConfig,89,140,8,0,15,28,12,9,8,9
notification-service,com.arka.notification.domain.exception,NotificationException.NotificationExceptionBuilder,63,0,0,0,1,0,9,0,9,0
notification-service,com.arka.notification.domain.exception,ApiManejadorExcepcionesGlobal,49,3,0,0,15,1,2,1,2,1
notification-service,com.arka.notification.domain.exception,NotificationException,318,22,54,0,33,8,41,1,14,1
notification-service,com.arka.notification.domain.exception,ArgumentRequiredException,4,0,0,0,2,0,1,0,1,0
notification-service,com.arka.notification.domain.exception,NotFoundException,257,0,46,0,23,0,36,0,13,0
notification-service,com.arka.notification.domain.exception,ValidationHandler,177,7,10,0,31,2,18,2,13,2
notification-service,com.arka.notification.domain.exception,NotFoundException.NotFoundExceptionBuilder,54,0,0,0,1,0,8,0,8,0
notification-service,com.arka.notification.infrastructure.adapter.in.kafka,StockEventConsumer,90,13,3,0,14,2,12,2,10,2
notification-service,com.arka.notification.config,UseCaseConfig,0,12,0,0,0,4,0,4,0,4
notification-service,com.arka.notification.config,KafkaConfig,0,49,0,0,0,10,0,3,0,3
notification-service,com.arka.notification.config,OpenApiConfig,0,43,0,0,0,14,0,3,0,3
notification-service,com.arka.notification.domain.model,CartReminderCommand,0,21,0,0,0,4,0,4,0,4
notification-service,com.arka.notification.domain.model,CartReminderItem,0,15,0,0,0,3,0,3,0,3
notification-service,com.arka.notification.domain.model,NotificationRecord,43,33,0,0,6,4,12,4,12,4
notification-service,com.arka.notification.domain.model,NotificationType,0,21,0,0,0,4,0,1,0,1
notification-service,com.arka.notification.infrastructure.adapter.in.web,NotificationRouter,0,20,0,0,0,5,0,2,0,2
notification-service,com.arka.notification.infrastructure.adapter.in.web,NotificationHandler,61,9,0,0,12,1,6,1,6,1
notification-service,com.arka.notification.infrastructure.adapter.in.web.dto,CartReminderRequest,24,0,0,0,5,0,7,0,7,0
notification-service,com.arka.notification.infrastructure.adapter.in.web.dto,CartReminderItemRequest,17,0,0,0,4,0,5,0,5,0
