GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report-service,com.arka.report.config,WebClientConfig,41,10,0,0,8,3,4,3,4,3
report-service,com.arka.report.config,OpenApiConfig,0,43,0,0,0,14,0,3,0,3
report-service,com.arka.report.config,UseCaseConfig,0,13,0,0,0,3,0,3,0,3
report-service,com.arka.report.application.usecase,WeeklySalesReportService,73,191,12,14,10,35,12,8,1,6
report-service,com.arka.report.application.usecase,LowStockReportService,48,112,8,8,7,17,8,8,1,7
report-service,com.arka.report.infrastructure.adapter.in.web,ReportHandler,66,9,0,0,11,1,4,1,4,1
report-service,com.arka.report.infrastructure.adapter.in.web,ReportRouter,0,20,0,0,0,5,0,2,0,2
report-service,com.arka.report,ReportServiceApplication,5,3,0,0,2,1,1,1,1,1
report-service,com.arka.report.domain.model,ProductView,30,36,0,0,3,6,8,6,8,6
report-service,com.arka.report.domain.model,OrderItemView,11,15,0,0,2,3,3,3,3,3
report-service,com.arka.report.domain.model,OrderView,32,24,0,0,5,3,9,3,9,3
report-service,com.arka.report.infrastructure.adapter.out.http,InventoryHttpClientAdapter,11,9,0,0,4,3,1,1,1,1
report-service,com.arka.report.infrastructure.adapter.out.http,OrderHttpClientAdapter,36,9,0,0,8,3,2,1,2,1
report-service,com.arka.report.infrastructure.security,SecurityConfig,89,128,8,0,15,27,12,9,8,9
report-service,com.arka.report.infrastructure.security,SecurityErrorResponseWriter,65,6,0,0,18,1,2,1,2,1
report-service,com.arka.report.infrastructure.scheduler,ReportScheduler,45,0,0,0,10,0,6,0,6,0
report-service,com.arka.report.domain.exception,NotFoundException,257,0,46,0,23,0,36,0,13,0
report-service,com.arka.report.domain.exception,ReportException.ReportExceptionBuilder,63,0,0,0,1,0,9,0,9,0
report-service,com.arka.report.domain.exception,ReportException,340,0,54,0,41,0,42,0,15,0
report-service,com.arka.report.domain.exception,ValidationHandler,177,7,10,0,31,2,18,2,13,2
report-service,com.arka.report.domain.exception,NotFoundException.NotFoundExceptionBuilder,54,0,0,0,1,0,8,0,8,0
report-service,com.arka.report.domain.exception,ApiManejadorExcepcionesGlobal,49,3,0,0,15,1,2,1,2,1
report-service,com.arka.report.domain.exception,ArgumentRequiredException,4,0,0,0,2,0,1,0,1,0
report-service,com.arka.report.domain.exception.dto,ApiRespuestaExcepcionDTO.ApiRespuestaExcepcionDTOBuilder,54,0,0,0,1,0,8,0,8,0
report-service,com.arka.report.domain.exception.dto,ApiRespuestaExcepcionDTO,269,0,46,0,14,0,40,0,17,0
